
MTBF DEEP ECP5
S,04A817C801
C0,P0,0000000000
C0,P1,0000000000
C0,P2,0000000000
C0,P3,0000000000
C0,P4,0000000000
C0,P5,0000000000
C0,P6,0000000000
C1,P0,0000000000
C1,P1,0000000000
C1,P2,0000000000
C1,P3,0000000000
C1,P4,0000000000
C1,P5,0000000000
C1,P6,0000000000
C2,P0,0000000000
C2,P1,0000000000
C2,P2,0000000000
C2,P3,0000000000
C2,P4,0000000000
C2,P5,0000000000
C2,P6,0000000000
C3,P0,0000000000
C3,P1,0000000000
C3,P2,0000000000
C3,P3,0000000000
C3,P4,0000000000
C3,P5,0000000000
C3,P6,0000000000
F,00,00BDA032
F,01,00BD995F
F,02,00BD9903
F,03,00BDA4FE
F,04,00BDBC77
F,05,00BDB14A
F,06,00BDACF2
F,07,00BDA0AE
F,08,00BD99E9
F,09,00BD967C
F,0A,00BD9EF8
F,0B,00BD9337
F,0C,00BD9DD1
F,0D,00BD9F86
F,0E,00BD8EBE
F,0F,00BD9152
F,10,00BDA686
F,11,00BDA3C7
F,12,00BD9A21
F,13,00BD8FEF
F,14,00BD9295
F,15,00BD7A5A
F,16,00BD9142
F,17,00BD7E2E
F,18,00BD7F6A
F,19,00BD8659
F,1A,00BD877A
F,1B,00BD7CFD
F,1C,00BD79F2
F,1D,00BD8179
F,1E,00BD8323
F,1F,00BD7E49
F,20,00BD83C0
F,21,00BD7F6F
F,22,00BD77F6
F,23,00BD7DEC
F,24,00BD8113
F,25,00BD775C
F,26,00BD72DE
F,27,00BD7CB3
F,28,00BD88A3
F,29,00BD9FB7
F,2A,00BD816E
F,2B,00BD82A0
F,2C,00BD7EFD
F,2D,00BD829B
F,2E,00BD6D10
F,2F,00BD72E9
F,30,00BD7046
F,31,00BD86B2
F,32,00BD7863
F,33,00BD6DC8
F,34,00BD6E63
F,35,00BD6D49
F,36,00BD7469
F,37,00BD7941
F,38,00BD69D4
F,39,00BD7564
F,3A,00BD74F2
F,3B,00BD6F43
F,3C,00BD68A1
F,3D,00BD61CA
F,3E,00BD535A
F,3F,00BD52A8
F,40,00BD58F0
F,41,00BD54F9
F,42,00BD6DA1
F,43,00BD6A52
F,44,00BD69EB
F,45,00BD7136
F,46,00BD75E5
F,47,00BD67FD
F,48,00BD6C07
F,49,00BD6D8A
F,4A,00BD6179
F,4B,00BD80E6
F,4C,00BD88CD
F,4D,00BD7D03
F,4E,00BD80E8
F,4F,00BD6CC4
F,50,00BD6F79
F,51,00BD62A6
F,52,00BD6050
F,53,00BD654B
F,54,00BD70AD
F,55,00BD821F
F,56,00BD8082
F,57,00BD7B90
F,58,00BD7EF8
F,59,00BD841D
F,5A,00BD8280
F,5B,00BD7C8E
F,5C,00BD86B7
F,5D,00BD740D
F,5E,00BD76F1
F,5F,00BD6D80
F,60,00BD7A8A
F,61,00BD71D3
F,62,00BD7003
F,63,00BD6715
F,64,00BD74BA
F,65,00BD6C21
F,66,00BD6E19
F,67,00BD618C
F,68,00BD688E
F,69,00BD706B
F,6A,00BD6DB8
F,6B,00BD664B
F,6C,00BD6081
F,6D,00BD7B47
F,6E,00BD7603
F,6F,00BD85C3
F,70,00BD81B8
F,71,00BD821D
F,72,00BD831D
F,73,00BD7041
F,74,00BD7857
F,75,00BD7D23
F,76,00BD631D
F,77,00BD5FC8
F,78,00BD68DE
F,79,00BD7454
F,7A,00BD8078
F,7B,00BD8E1C
F,7C,00BD8E59
F,7D,00BD8B74
F,7E,00BD9D3D
F,7F,00BD8577
F,80,00BD813C
F,81,00BD6431
F,82,00BD596C
F,83,00BD5813
F,84,00BD6883
F,85,00BD66E1
F,86,00BD645C
F,87,00BD6374
F,88,00BD5DC3
F,89,00BD39D0
F,8A,00BD41F7
F,8B,00BD5506
F,8C,00BD547D
F,8D,00BD5FCD
F,8E,00BD53F3
F,8F,00BD596F
F,90,00BD5453
F,91,00BD52B6
F,92,00BD6040
F,93,00BD6C82
F,94,00BD6883
F,95,00BD4FB6
DONE
