
MTBF TAU ECP5
S,0077359401
C0,P0,0000000000
C0,P1,0000000000
C0,P2,0000000000
C0,P3,0000000000
C0,P4,0000000000
C0,P5,0000000000
C0,P6,0000000000
C1,P0,0000000000
C1,P1,0000000000
C1,P2,0000000000
C1,P3,0000000000
C1,P4,0000000000
C1,P5,0000000000
C1,P6,0000000000
C2,P0,0000000000
C2,P1,0000000000
C2,P2,0000000000
C2,P3,0000000000
C2,P4,0000000000
C2,P5,0000000000
C2,P6,0000000000
C3,P0,0000000000
C3,P1,0000000000
C3,P2,0000000000
C3,P3,0000000000
C3,P4,0000000000
C3,P5,0000000000
C3,P6,0000000000
DONE
