,0069,92,00ED4
R,0069,93,00A76
R,0069,94,00340
R,0069,95,007DB
R,0069,96,00C6C
R,0069,97,003A2
R,0069,98,0161A
R,0069,99,01163
R,0069,9A,006C5
R,0069,9B,00DFB
R,0069,9C,0047B
R,0069,9D,00FFB
R,0069,9E,01042
R,0069,9F,011F5
R,0069,A0,0043D
R,0069,A1,011BF
R,0069,A2,013A1
R,0069,A3,011FC
R,0069,A4,00DE2
R,0069,A5,00E66
R,0069,A6,01371
R,0069,A7,015C6
R,0069,A8,00E54
R,0069,A9,01344
R,0069,AA,01685
R,0069,AB,0022A
R,0069,AC,0028B
R,0069,AD,005DF
R,0069,AE,0152E
R,0069,AF,006B1
R,0069,B0,00EA7
R,0069,B1,0114D
R,0069,B2,00373
R,0069,B3,0036F
R,0069,B4,0134C
R,0069,B5,013E9
R,0069,B6,010C1
R,0069,B7,01181
R,0069,B8,00641
R,0069,B9,00233
R,0069,BA,00276
R,0069,BB,0044E
R,0069,BC,0022E
R,0069,BD,00D4A
R,0069,BE,00604
R,0069,BF,00746
R,0069,C0,00CEC
R,0069,C1,0109C
R,0069,C2,01389
R,0069,C3,011B9
R,0069,C4,0053C
R,0069,C5,01256
R,0069,C6,008DA
R,0069,C7,00C06
R,0069,C8,004F3
R,0069,C9,00A85
R,0069,CA,00825
R,0069,CB,004D3
R,0069,CC,00A68
R,0069,CD,01649
R,0069,CE,01133
R,0069,CF,0120F
R,0069,D0,0166C
R,0069,D1,015A8
R,0069,D2,01656
R,0069,D3,00EF3
R,0069,D4,00488
R,0069,D5,012D9
R,0069,D6,00657
R,0069,D7,015D3
R,0069,D8,004A4
R,0069,D9,00519
R,0069,DA,00577
R,0069,DB,002E8
R,0069,DC,00878
R,0069,DD,005D5
R,0069,DE,002A8
R,0069,DF,006B6
R,0069,E0,014E3
R,0069,E1,00242
R,0069,E2,0073C
R,0069,E3,011CF
R,0069,E4,013F5
R,0069,E5,01611
R,0069,E6,00328
R,0069,E7,00D24
R,0069,E8,00507
R,0069,E9,01500
R,0069,EA,01470
R,0069,EB,00A8A
R,0069,EC,010C8
R,0069,ED,00269
R,0069,EE,009CA
R,0069,EF,001CB
R,0069,F0,00C62
R,0069,F1,013B1
R,0069,F2,00DFE
R,0069,F3,00809
R,0069,F4,00B70
R,0069,F5,00F02
R,0069,F6,00935
R,0069,F7,01573
R,0069,F8,003E3
R,0069,F9,00EF1
R,0069,FA,00E0B
R,0069,FB,0149D
R,0069,FC,00858
R,0069,FD,00ED0
R,0069,FE,00811
R,0069,FF,00E81
T,0069,00550A0C
R,006A,00,009D3
R,006A,01,0154D
R,006A,02,014F3
R,006A,03,00406
R,006A,04,0088D
R,006A,05,009BB
R,006A,06,011D0
R,006A,07,00AEA
R,006A,08,00481
R,006A,09,00ED9
R,006A,0A,00945
R,006A,0B,011B9
R,006A,0C,015E5
R,006A,0D,00D24
R,006A,0E,00340
R,006A,0F,0132D
R,006A,10,01127
R,006A,11,0164C
R,006A,12,00250
R,006A,13,00E49
R,006A,14,01215
R,006A,15,00870
R,006A,16,00F3E
R,006A,17,0160E
R,006A,18,009AE
R,006A,19,01544
R,006A,1A,0142C
R,006A,1B,00953
R,006A,1C,00C85
R,006A,1D,01345
R,006A,1E,00FB5
R,006A,1F,00A04
R,006A,20,007C5
R,006A,21,01383
R,006A,22,01552
R,006A,23,013EE
R,006A,24,0156C
R,006A,25,01577
R,006A,26,00C83
R,006A,27,016AF
R,006A,28,008E9
R,006A,29,00D6C
R,006A,2A,00656
R,006A,2B,006A2
R,006A,2C,01588
R,006A,2D,00BFA
R,006A,2E,0099E
R,006A,2F,006BF
R,006A,30,0128A
R,006A,31,0024E
R,006A,32,00F16
R,006A,33,00CC3
R,006A,34,00221
R,006A,35,004AE
R,006A,36,008A8
R,006A,37,01046
R,006A,38,0168E
R,006A,39,00882
R,006A,3A,00683
R,006A,3B,001D2
R,006A,3C,01597
R,006A,3D,00EFB
R,006A,3E,01099
R,006A,3F,002A4
R,006A,40,00615
R,006A,41,00E58
R,006A,42,00F3C
R,006A,43,012E6
R,006A,44,008F5
R,006A,45,003F4
R,006A,46,01214
R,006A,47,00343
R,006A,48,0058A
R,006A,49,013A7
R,006A,4A,006B4
R,006A,4B,012DA
R,006A,4C,003E8
R,006A,4D,014A6
R,006A,4E,012E4
R,006A,4F,01159
R,006A,50,00D82
R,006A,51,0135E
R,006A,52,0062C
R,006A,53,006EA
R,006A,54,013BC
R,006A,55,00E7F
R,006A,56,00202
R,006A,57,0146A
R,006A,58,004C7
R,006A,59,011B5
R,006A,5A,014AC
R,006A,5B,0158C
R,006A,5C,008F4
R,006A,5D,00214
R,006A,5E,00D4C
R,006A,5F,006D2
R,006A,60,005AD
R,006A,61,00A17
R,006A,62,00675
R,006A,63,00AC1
R,006A,64,008AC
R,006A,65,00FDA
R,006A,66,012C0
R,006A,67,01527
R,006A,68,00F1C
R,006A,69,0164F
R,006A,6A,00EA0
R,006A,6B,0082F
R,006A,6C,0122C
R,006A,6D,00FEC
R,006A,6E,0166E
R,006A,6F,00D6E
R,006A,70,015F0
R,006A,71,00AB2
R,006A,72,0115D
R,006A,73,010F1
R,006A,74,0070C
R,006A,75,01018
R,006A,76,001C8
R,006A,77,014EA
R,006A,78,00852
R,006A,79,006A4
R,006A,7A,00F2E
R,006A,7B,01203
R,006A,7C,009CE
R,006A,7D,015FB
R,006A,7E,01001
R,006A,7F,00660
R,006A,80,005F9
R,006A,81,009F7
R,006A,82,0135F
R,006A,83,0116F
R,006A,84,008A4
R,006A,85,005EE
R,006A,86,00501
R,006A,87,01075
R,006A,88,00D5B
R,006A,89,003F5
R,006A,8A,00740
R,006A,8B,00DAF
R,006A,8C,01040
R,006A,8D,0134A
R,006A,8E,00689
R,006A,8F,00DD7
R,006A,90,014A2
R,006A,91,007A9
R,006A,92,00EE3
R,006A,93,00A70
R,006A,94,00361
R,006A,95,007E3
R,006A,96,00C61
R,006A,97,003B6
R,006A,98,015E7
R,006A,99,01153
R,006A,9A,006B7
R,006A,9B,00E44
R,006A,9C,00408
R,006A,9D,00F82
R,006A,9E,01045
R,006A,9F,01201
R,006A,A0,003A5
R,006A,A1,011F2
R,0063D,00F35
R,0070,3E,010CE
R,0070,3F,0028B
R,0070,40,00633
R,0070,41,00E9C
R,0070,42,00F98
R,0070,43,01376
R,0070,44,00931
R,0070,45,00415
R,0070,46,011B4
R,0070,47,003B1
R,0070,48,0055F
R,0070,49,01366
R,0070,4A,006CA
R,0070,4B,0133A
R,0070,4C,003D7
R,0070,4D,01504
R,0070,4E,012FE
R,0070,4F,0118A
R,0070,50,00DE7
R,0070,51,013CF
R,0070,52,00624
R,0070,53,006FE
R,0070,54,013C9
R,0070,55,00E2B
R,0070,56,001F6
R,0070,57,0146D
R,0070,58,00492
R,0070,59,011FD
R,0070,5A,014C8
R,0070,5B,01552
R,0070,5C,008F3
R,0070,5D,001F9
R,0070,5E,00D64
R,0070,5F,006AF
R,0070,60,0059F
R,0070,61,00A78
R,0070,62,00691
R,0070,63,00A8C
R,0070,64,008B7
R,0070,65,010E9
R,0070,66,012B9
R,0070,67,0155E
R,0070,68,00ED5
R,0070,69,0164E
R,0070,6A,00E60
R,0070,6B,00893
R,0070,6C,01239
R,0070,6D,00FC5
R,0070,6E,01682
R,0070,6F,00D49
R,0070,70,01628
R,0070,71,00A66
R,0070,72,01185
R,0070,73,010AF
R,0070,74,00703
R,0070,75,01042
R,0070,76,001E6
R,0070,77,01504
R,0070,78,00816
R,0070,79,006A2
R,0070,7A,00F5F
R,0070,7B,01211
R,0070,7C,0098B
R,0070,7D,01614
R,0070,7E,00EE5
R,0070,7F,00618
R,0070,80,005F0
R,0070,81,00A54
R,0070,82,01358
R,0070,83,0116B
R,0070,84,008B2
R,0070,85,005DF
R,0070,86,004EB
R,0070,87,010C4
R,0070,88,00DA0
R,0070,89,00404
R,0070,8A,00717
R,0070,8B,00DAE
R,0070,8C,0101F
R,0070,8D,01342
R,0070,8E,0067B
